Slovenia
France
"United States"
Turkey
Canada
Portugal
Brazil
"United Kingdom"
Germany
Poland
"Russian Federation"
Ghana
Pakistan
Kazakhstan
Italy
Nepal
Serbia
Spain
Croatia
Denmark
Malaysia
Greece
Belarus
Vietnam
Romania
Latvia
Hungary
Iran
Lithuania
Jordan
Thailand
Philippines
Argentina
Morocco
"South Africa"
Bahamas
Netherlands
"Czech Republic"
India
Sweden
"Bosnia Herzegovina"
Ecuador
Ukraine
Mexico
Moldova
Azerbaijan
Indonesia
Australia
Armenia
Lebanon
Venezuela
Slovakia
Panama
Switzerland
Colombia
Japan
Bolivia
Macedonia
Bangladesh
Nicaragua
Albania
Israel
China
Montenegro
Belgium
"Saudi Arabia"
Austria
"Sri Lanka"
Algeria
Chile
Bulgaria
"Ireland {Republic}"
Afghanistan
Tanzania
Nigeria
"New Zealand"
Finland
Senegal
Norway
"Not listed"
Peru
Tunisia
Estonia
"Costa Rica"
Bahrain
Laos
Cambodia
Taiwan
"East Timor"
"El Salvador"
Uzbekistan
"Korea South"
"Trinidad & Tobago"
Syria
Egypt
Haiti
Uruguay
Bhutan
Andorra
"Dominican Republic"
"United Arab Emirates"
Singapore
Jamaica
Luxembourg
"Central African Rep"
Cuba
Georgia
Cyprus
Cameroon
Angola
Kyrgyzstan
Kuwait
"Myanmar, {Burma}"
Malta
Guatemala
Kosovo
Kenya
Suriname
"St Lucia"
Malawi
Iceland
Mauritius
Paraguay
Madagascar
Maldives
Honduras
"United StatesUnited Kingdom"
Somalia
"Ivory Coast"
Mozambique
"Congo {Democratic Rep}"
Tajikistan
Mauritania
Mongolia
Togo
